sleeplessness;worry;agitation|irritable mood|1.00
irritable mood;worry;agitation|sleeplessness|0.88
sleeplessness;irritable mood;worry|hallucinations auditory|1.00
sleeplessness;irritable mood;hallucinations auditory|worry|0.88
sleeplessness;worry;hallucinations auditory|irritable mood|1.00
irritable mood;worry;hallucinations auditory|sleeplessness|0.88
sleeplessness;irritable mood;worry;hallucinations auditory|agitation|1.00
sleeplessness;irritable mood;worry;agitation|hallucinations auditory|1.00
sleeplessness;irritable mood;hallucinations auditory;agitation|worry|1.00
sleeplessness;worry;hallucinations auditory;agitation|irritable mood|1.00
irritable mood;worry;hallucinations auditory;agitation|sleeplessness|0.88
sleeplessness|suicidal|0.78
sleeplessness;suicidal|hallucinations auditory|1.00
sleeplessness;hallucinations auditory|suicidal|0.88
sleeplessness|worry|0.78
sleeplessness;worry|agitation|1.00
sleeplessness;agitation|worry|1.00
worry;agitation|sleeplessness|0.78
sleeplessness;worry|hallucinations auditory|1.00
sleeplessness;hallucinations auditory|worry|0.88
worry;hallucinations auditory|sleeplessness|0.78
sleeplessness;worry;hallucinations auditory|agitation|1.00
sleeplessness;worry;agitation|hallucinations auditory|1.00
sleeplessness;hallucinations auditory;agitation|worry|1.00
worry;hallucinations auditory;agitation|sleeplessness|0.88
suicidal|agitation|0.75
suicidal|hallucinations auditory|0.92
hallucinations auditory|suicidal|0.79
suicidal;hallucinations auditory|agitation|0.73
suicidal;agitation|hallucinations auditory|0.89
hallucinations auditory;agitation|suicidal|0.80
sweat|pain chest|0.91
sweat;pain chest|shortness of breath|0.90
sweat;shortness of breath|pain chest|0.90
sweat|shortness of breath|0.91
sweating increased|pain chest|0.88
sweating increased|shortness of breath|0.88
sweating increased|sweat|1.00
sweat|sweating increased|0.73
sweating increased;sweat|pain chest|0.88
sweating increased;pain chest|sweat|1.00
sweat;pain chest|sweating increased|0.70
sweating increased;sweat|shortness of breath|0.88
sweating increased;shortness of breath|sweat|1.00
sweat;shortness of breath|sweating increased|0.70
thicken|pain|0.78
weepiness|agitation|1.00
weepiness|hallucinations auditory|1.00
weepiness;hallucinations auditory|agitation|1.00
weepiness;agitation|hallucinations auditory|1.00
hallucinations auditory;agitation|weepiness|0.70
weepiness|irritable mood|1.00
weepiness;irritable mood|agitation|1.00
weepiness;agitation|irritable mood|1.00
irritable mood;agitation|weepiness|0.70
weepiness;irritable mood|hallucinations auditory|1.00
weepiness;hallucinations auditory|irritable mood|1.00
irritable mood;hallucinations auditory|weepiness|0.70
weepiness;irritable mood;hallucinations auditory|agitation|1.00
weepiness;irritable mood;agitation|hallucinations auditory|1.00
weepiness;hallucinations auditory;agitation|irritable mood|1.00
irritable mood;hallucinations auditory;agitation|weepiness|0.78
weepiness;irritable mood|worry|1.00
weepiness;worry|irritable mood|1.00
irritable mood;worry|weepiness|0.88
weepiness;irritable mood;worry|agitation|1.00
weepiness;irritable mood;agitation|worry|1.00
weepiness;worry;agitation|irritable mood|1.00
irritable mood;worry;agitation|weepiness|0.88
weepiness;irritable mood;worry|hallucinations auditory|1.00
weepiness;irritable mood;hallucinations auditory|worry|1.00
weepiness;worry;hallucinations auditory|irritable mood|1.00
irritable mood;worry;hallucinations auditory|weepiness|0.88
weepiness;irritable mood;worry;hallucinations auditory|agitation|1.00
weepiness;irritable mood;worry;agitation|hallucinations auditory|1.00
weepiness;irritable mood;hallucinations auditory;agitation|worry|1.00
weepiness;worry;hallucinations auditory;agitation|irritable mood|1.00
irritable mood;worry;hallucinations auditory;agitation|weepiness|0.88
weepiness|sleeplessness|1.00
sleeplessness|weepiness|0.78
weepiness;sleeplessness|agitation|1.00
weepiness;agitation|sleeplessness|1.00
sleeplessness;agitation|weepiness|1.00
weepiness;sleeplessness|hallucinations auditory|1.00
weepiness;hallucinations auditory|sleeplessness|1.00
sleeplessness;hallucinations auditory|weepiness|0.88
weepiness;sleeplessness;hallucinations auditory|agitation|1.00
weepiness;sleeplessness;agitation|hallucinations auditory|1.00
weepiness;hallucinations auditory;agitation|sleeplessness|1.00
sleeplessness;hallucinations auditory;agitation|weepiness|1.00
weepiness;sleeplessness|irritable mood|1.00
weepiness;irritable mood|sleeplessness|1.00
sleeplessness;irritable mood|weepiness|0.88
weepiness;sleeplessness;irritable mood|agitation|1.00
weepiness;sleeplessness;agitation|irritable mood|1.00
weepiness;irritable mood;agitation|sleeplessness|1.00
sleeplessness;irritable mood;agitation|weepiness|1.00
weepiness;sleeplessness;irritable mood|hallucinations auditory|1.00
weepiness;sleeplessness;hallucinations auditory|irritable mood|1.00
weepiness;irritable mood;hallucinations auditory|sleeplessness|1.00
sleeplessness;irritable mood;hallucinations auditory|weepiness|0.88
weepiness;sleeplessness;irritable mood;hallucinations auditory|agitation|1.00
weepiness;sleeplessness;irritable mood;agitation|hallucinations auditory|1.00
weepiness;sleeplessness;hallucinations auditory;agitation|irritable mood|1.00
weepiness;irritable mood;hallucinations auditory;agitation|sleeplessness|1.00
sleeplessness;irritable mood;hallucinations auditory;agitation|weepiness|1.00
weepiness;sleeplessness;irritable mood|worry|1.00
weepiness;sleeplessness;worry|irritable mood|1.00
weepiness;irritable mood;worry|sleeplessness|1.00
sleeplessness;irritable mood;worry|weepiness|1.00
weepiness;sleeplessness;irritable mood;worry|agitation|1.00
weepiness;sleeplessness;irritable mood;agitation|worry|1.00
weepiness;sleeplessness;worry;agitation|irritable mood|1.00
weepiness;irritable mood;worry;agitation|sleeplessness|1.00
sleeplessness;irritable mood;worry;agitation|weepiness|1.00
weepiness;sleeplessness;irritable mood;worry|hallucinations auditory|1.00
weepiness;sleeplessness;irritable mood;hallucinations auditory|worry|1.00
weepiness;sleeplessness;worry;hallucinations auditory|irritable mood|1.00
weepiness;irritable mood;worry;hallucinations auditory|sleeplessness|1.00
sleeplessness;irritable mood;worry;hallucinations auditory|weepiness|1.00
weepiness;sleeplessness;irritable mood;worry;hallucinations auditory|agitation|1.00
weepiness;sleeplessness;irritable mood;worry;agitation|hallucinations auditory|1.00
weepiness;sleeplessness;irritable mood;hallucinations auditory;agitation|worry|1.00
weepiness;sleeplessness;worry;hallucinations auditory;agitation|irritable mood|1.00
weepiness;irritable mood;worry;hallucinations auditory;agitation|sleeplessness|1.00
sleeplessness;irritable mood;worry;hallucinations auditory;agitation|weepiness|1.00
weepiness;sleeplessness|worry|1.00
weepiness;worry|sleeplessness|1.00
sleeplessness;worry|weepiness|1.00
weepiness;sleeplessness;worry|agitation|1.00
weepiness;sleeplessness;agitation|worry|1.00
weepiness;worry;agitation|sleeplessness|1.00
sleeplessness;worry;agitation|weepiness|1.00
weepiness;sleeplessness;worry|hallucinations auditory|1.00
weepiness;sleeplessness;hallucinations auditory|worry|1.00
weepiness;worry;hallucinations auditory|sleeplessness|1.00
sleeplessness;worry;hallucinations auditory|weepiness|1.00
weepiness;sleeplessness;worry;hallucinations auditory|agitation|1.00
weepiness;sleeplessness;worry;agitation|hallucinations auditory|1.00
weepiness;sleeplessness;hallucinations auditory;agitation|worry|1.00
weepiness;worry;hallucinations auditory;agitation|sleeplessness|1.00
sleeplessness;worry;hallucinations auditory;agitation|weepiness|1.00
weepiness|worry|1.00
weepiness;worry|agitation|1.00
weepiness;agitation|worry|1.00
worry;agitation|weepiness|0.78
weepiness;worry|hallucinations auditory|1.00
weepiness;hallucinations auditory|worry|1.00
worry;hallucinations auditory|weepiness|0.78
weepiness;worry;hallucinations auditory|agitation|1.00
weepiness;worry;agitation|hallucinations auditory|1.00
weepiness;hallucinations auditory;agitation|worry|1.00
worry;hallucinations auditory;agitation|weepiness|0.88
worry|agitation|0.82
worry|hallucinations auditory|0.82
worry;hallucinations auditory|agitation|0.89
worry;agitation|hallucinations auditory|0.89
hallucinations auditory;agitation|worry|0.80
worry|suicidal|0.73
worry;suicidal|agitation|0.88
worry;agitation|suicidal|0.78
suicidal;agitation|worry|0.78
worry;suicidal|hallucinations auditory|1.00
worry;hallucinations auditory|suicidal|0.89
suicidal;hallucinations auditory|worry|0.73
worry;suicidal;hallucinations auditory|agitation|0.88
worry;suicidal;agitation|hallucinations auditory|1.00
worry;hallucinations auditory;agitation|suicidal|0.88
suicidal;hallucinations auditory;agitation|worry|0.88
